address,total_volume,in_volume,out_volume,in_pr_and_vol
0x28c6c06298d514db089934071355e5743bf21d60,7324079124709.336,3552605527111.9263,3771473597597.41,True
0x4a4aaa0155237881fbd5c34bfae16e985a7b068d,4115983790619.1245,2074403725194.4644,2041580065424.6602,True
0x91d40e4818f4d4c57b4578d9eca6afc92ac8debe,3244265794792.2144,1616176023381.8206,1628089771410.3938,True
0xdfd5293d8e347dfe59e90efd55b2956a1343963d,2562282113146.01,1255892992670.96,1306389120475.05,True
0x51c72848c68a965f66fa7a88855f9f7784502a7f,2367225715499.296,1185307157027.9182,1181918558471.3774,True
0x21a31ee1afc51d94c2efccaa2092ad1028285549,2248345200468.06,1259478404904.45,988866795563.61,True
0xb0a27099582833c0cb8c7a0565759ff145113d64,1913644609127.7441,915632626676.88,998011982450.8643,False
0xefef30bd1cca520619306c95091ab18473febc5c,1822867626359.1787,1091675897011.7311,731191729347.4478,True
0xad6eaa735d9df3d7696fd03984379dae02ed8862,1725110050726.1318,859332784376.4381,865777266349.6937,True
0xa69babef1ca67a37ffaf7a485dfff3382056e78c,1518893856171.044,762440195339.9578,756453660831.0862,True
0x841ed663f2636863d40be4ee76243377dff13a34,1514197588716.0615,1077444559120.8615,436753029595.2,True
0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43,1461035862134.7783,748961604217.8683,712074257916.9102,True
0xf89d7b9c864f589bbf53a82105107622b35eaa40,1422356353125.1729,711178176562.5865,711178176562.5864,False
0xbc8a0f5e41857292d12ef620e2a5895ce65a5ce0,1303117724009.2,651558862004.6,651558862004.6,False
0xa43fe16908251ee70ef74718545e4fe6c5ccec9f,1245493350781.081,626512525736.5707,618980825044.5103,True
0x0d0707963952f2fba59dd06f2b425ace40b492fe,1196477108189.2039,255202644971.78314,941274463217.4208,False
0x225a38bc71102999dd13478bfabd7c4d53f2dc17,1098532327323.8484,549266163661.92413,549266163661.9242,False
0xc671b05671a7cd3080c6ceae79d284bdde0ef271,1090998974124.0464,440993385898.0464,650005588226.0,False
0xf3d8f38c01af8a7506fcf771bb04bae3365adc2c,1085429135535.9382,650000000006.5701,435429135529.3682,False
0x700e0841ce0892969d2f9cf523c6298b3ef056a6,1068207985027.739,543004960352.37897,525203024675.36,False
