address,total_volume,in_volume,out_volume,in_pr_and_vol
0x28c6c06298d514db089934071355e5743bf21d60,5589693426797.264,2176681165859.2341,3413012260938.03,True
0xdfd5293d8e347dfe59e90efd55b2956a1343963d,2438224072327.77,1327823710429.05,1110400361898.72,True
0xb334a61a6209f14b5fa5f1684a4ed7621f66e1ef,2372803868163.201,1199726743315.9001,1173077124847.3008,True
0x4a4aaa0155237881fbd5c34bfae16e985a7b068d,2323701843538.684,1039679245010.0587,1284022598528.6252,False
0xc333e80ef2dec2805f239e3f1e810612d294f771,2277963147013.5,1165142864118.0,1112820282895.5,True
0x91d40e4818f4d4c57b4578d9eca6afc92ac8debe,1997257821076.9077,1125344821251.7566,871912999825.151,False
0x21a31ee1afc51d94c2efccaa2092ad1028285549,1838726423635.1199,893487387055.9299,945239036579.19,True
0x700e0841ce0892969d2f9cf523c6298b3ef056a6,1756991405835.585,856385214445.8949,900606191389.6901,True
0xefef30bd1cca520619306c95091ab18473febc5c,1629890096176.6345,605558419004.9471,1024331677171.6874,True
0x5bdf85216ec1e38d6458c870992a69e38e03f7ef,1235102287502.764,571267880201.0106,663834407301.7533,False
0xc671b05671a7cd3080c6ceae79d284bdde0ef271,1098716666433.3021,838716666433.3021,260000000000.0,True
0x000e20a2eefa97815f3f5057fcd8920acf1ae0de,1095926351614.2634,608480251287.2217,487446100327.04175,False
0xf8191d98ae98d2f7abdfb63a9b0b812b93c873aa,1090432691944.31,544062836463.63,546369855480.68,False
0xa43fe16908251ee70ef74718545e4fe6c5ccec9f,1030899667966.0521,602358543212.923,428541124753.12915,True
0x76ec5a0d3632b2133d9f1980903305b62678fbd3,1024595287628.9374,908766173375.3008,115829114253.63655,True
0xd73113b56c0f2de7681ba0cb09d5cd1a14376b3e,999581069627.6,499790534815.3,499790534812.3,True
0xb0a27099582833c0cb8c7a0565759ff145113d64,964143374052.824,43641503277.55,920501870775.2739,False
0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43,879325195469.7065,551193759546.6133,328131435923.0933,True
0x51c72848c68a965f66fa7a88855f9f7784502a7f,830713678963.1017,387999093950.7271,442714585012.3746,True
0xbe0562201362d5adea1b0c678406d70432d33d8d,823909509478.5021,411954754739.25104,411954754739.25104,True
