address,total_volume,in_volume,out_volume,in_pr_and_vol
0x28c6c06298d514db089934071355e5743bf21d60,4210064836978.448,1459580092418.1882,2750484744560.26,True
0x91d40e4818f4d4c57b4578d9eca6afc92ac8debe,2399916368293.4453,1271361138466.6846,1128555229826.761,False
0x21a31ee1afc51d94c2efccaa2092ad1028285549,1795290998269.7798,979794515728.8799,815496482540.9,True
0xdfd5293d8e347dfe59e90efd55b2956a1343963d,1682156413922.0103,930402078162.1101,751754335759.9,True
0x4a4aaa0155237881fbd5c34bfae16e985a7b068d,1542550062343.024,756363459742.4093,786186602600.6146,False
0xb334a61a6209f14b5fa5f1684a4ed7621f66e1ef,1186712053260.0322,608279756173.8119,578432297086.2205,True
0xf8191d98ae98d2f7abdfb63a9b0b812b93c873aa,1166717568334.2073,585926542239.3573,580791026094.85,True
0x9b0c45d46d386cedd98873168c36efd0dcba8d46,1111380488418.46,697847577213.46,413532911205.0,True
0x841ed663f2636863d40be4ee76243377dff13a34,1107435525068.3975,1002599492449.3973,104836032619.0,True
0x700e0841ce0892969d2f9cf523c6298b3ef056a6,1001377389519.9231,528551603532.36304,472825785987.56,True
0xa43fe16908251ee70ef74718545e4fe6c5ccec9f,998927275020.3342,556079905017.753,442847370002.5811,True
0x51c72848c68a965f66fa7a88855f9f7784502a7f,975383077552.5278,496097107105.86273,479285970446.66504,True
0x611f7bf868a6212f871e89f7e44684045ddfb09d,971329950843.5898,39562515828.69,931767435014.8999,False
0xc333e80ef2dec2805f239e3f1e810612d294f771,967663312806.5991,370483496997.9932,597179815808.606,False
0x66e092fd00c4e4eb5bd20f5392c1902d738ae7bc,926442122580.8821,452394464760.5139,474047657820.3681,True
0x0d0707963952f2fba59dd06f2b425ace40b492fe,814148858047.6709,495548512739.85596,318600345307.8149,False
0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43,808620985892.9673,436770748749.39685,371850237143.5704,True
0x000e20a2eefa97815f3f5057fcd8920acf1ae0de,725940104881.9587,342927519717.93945,383012585164.01935,False
0xeb9ca8fdfac0652a97c0e1a48c1178d32d3a6b8f,714999966092.0,357499983049.0,357499983043.0,True
0xefef30bd1cca520619306c95091ab18473febc5c,710329646778.4536,160814659683.71832,549514987094.7353,True
