address,total_volume,in_volume,out_volume,in_pr_and_vol
0x28c6c06298d514db089934071355e5743bf21d60,15584205993123.39,8360920936424.28,7223285056699.111,True
0xeae7380dd4cef6fbd1144f49e4d1e6964258a4f4,7077653404383.513,3538826702191.7563,3538826702191.7563,True
0xa43fe16908251ee70ef74718545e4fe6c5ccec9f,4697120890981.182,2071498821866.34,2625622069114.8413,True
0xdfd5293d8e347dfe59e90efd55b2956a1343963d,4169603156549.54,1985044602925.46,2184558553624.08,True
0xf8191d98ae98d2f7abdfb63a9b0b812b93c873aa,3433911365517.9004,2040023414055.36,1393887951462.54,True
0x51c72848c68a965f66fa7a88855f9f7784502a7f,3404082644654.091,1703901707825.1333,1700180936828.9575,True
0x21a31ee1afc51d94c2efccaa2092ad1028285549,3232651711998.8496,1604504269556.73,1628147442442.1199,True
0x91d40e4818f4d4c57b4578d9eca6afc92ac8debe,2314194036358.484,1064617228054.7627,1249576808303.7212,True
0x700e0841ce0892969d2f9cf523c6298b3ef056a6,2197753443147.1626,864362839631.5524,1333390603515.61,True
0x4a4aaa0155237881fbd5c34bfae16e985a7b068d,2039765997960.3242,1094276141889.8157,945489856070.5087,True
0xfbd4cdb413e45a52e2c8312f670e9ce67e794c37,2020094846391.603,1016248427685.4537,1003846418706.1494,True
0xf977814e90da44bfa03b6295a0616a897441acec,1968656949117.732,1968656949117.732,0.0,True
0x7f07e5771e32f76b86e9b0ab42834f689ce4b045,1691248617499.8083,845624308749.9042,845624308749.9042,True
0xbeef02961503351625926ea9a11ae13b29f5c555,1622264215261.4392,811133964379.5756,811130250881.8636,False
0xc333e80ef2dec2805f239e3f1e810612d294f771,1575981932611.754,960790233069.8296,615191699541.9244,False
0xb334a61a6209f14b5fa5f1684a4ed7621f66e1ef,1450369494778.6904,722103168429.6904,728266326349.0,False
0x9008d19f58aabd9ed0d60971565aa8510560ab41,1420447796080.8904,710254713429.4973,710193082651.3931,False
0xefef30bd1cca520619306c95091ab18473febc5c,1400179179189.3784,599894019561.0992,800285159628.279,True
0xf3d8f38c01af8a7506fcf771bb04bae3365adc2c,1380481798926.022,715000005501.3392,665481793424.6829,False
0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43,1319742007654.193,632363735724.1294,687378271930.0637,True
