address,total_volume,in_volume,out_volume,in_pr_and_vol
0x28c6c06298d514db089934071355e5743bf21d60,16552923419653.586,8109236679957.347,8443686739696.239,True
0xeae7380dd4cef6fbd1144f49e4d1e6964258a4f4,7441273437158.311,3699169864309.92,3742103572848.39,True
0xdfd5293d8e347dfe59e90efd55b2956a1343963d,4588080678201.439,2310740818267.25,2277339859934.19,True
0xf8191d98ae98d2f7abdfb63a9b0b812b93c873aa,4325506960964.6396,2121076499605.45,2204430461359.19,True
0x21a31ee1afc51d94c2efccaa2092ad1028285549,3455979494589.7,1758280315698.1501,1697699178891.55,True
0x4a4aaa0155237881fbd5c34bfae16e985a7b068d,3403627794664.385,1736829149746.996,1666798644917.3884,True
0x91d40e4818f4d4c57b4578d9eca6afc92ac8debe,3298394577068.874,1380789639233.767,1917604937835.1067,True
0x835678a611b28684005a5e2233695fb6cbbb0007,3085762203116.0,1578683015541.0,1507079187574.9998,False
0x5a52e96bacdabb82fd05763e25335261b270efcb,3085762203114.0,1507079187574.9998,1578683015539.0,False
0xa43fe16908251ee70ef74718545e4fe6c5ccec9f,2871017697113.6265,1404310027181.948,1466707669931.6785,True
0x51c72848c68a965f66fa7a88855f9f7784502a7f,2500685502779.242,1241690362542.7678,1258995140236.4744,True
0xf977814e90da44bfa03b6295a0616a897441acec,2395656830614.269,2395656830614.269,0.0,True
0x841ed663f2636863d40be4ee76243377dff13a34,2247702857374.6,1112248208272.6,1135454649102.0,False
0x700e0841ce0892969d2f9cf523c6298b3ef056a6,2117332192756.586,980853706492.6061,1136478486263.98,True
0x18ec285a48499a67a35bf38ecfa17542e94c603a,1994205851186.0,997102925593.0,997102925593.0,False
0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43,1834082634206.2446,931596554136.5457,902486080069.6991,True
0xfbd4cdb413e45a52e2c8312f670e9ce67e794c37,1813009652849.992,909851319320.4331,903158333529.5588,True
0xbc8a0f5e41857292d12ef620e2a5895ce65a5ce0,1563263494570.1,781631747285.05,781631747285.05,False
0xefef30bd1cca520619306c95091ab18473febc5c,1546486399893.191,777232397649.4537,769254002243.7372,True
0x2d6ffec3acbdaff0f895e70fcc699246a2798102,1373635903173.3933,686817951586.6967,686817951586.6967,False
