Grafo,descricao,address,rank_in,rank_out,in_vol,out_vol,pagerank
Baseline,Maduro-Hub,0xeae7380dd4cef6fbd1144f49e4d1e6964258a4f4,21,22,504555348679.39,504555348679.39,0.006538713182334528
Baseline,Maduro-Hub-2,0xfbd4cdb413e45a52e2c8312f670e9ce67e794c37,47,48,223287789150.52917,218302842278.8968,0.003674555975257816
Baseline,Khamenei-Antecipador,0xb334a61a6209f14b5fa5f1684a4ed7621f66e1ef,29,28,405685706555.18616,401135900945.7265,0.006271845914996126
Baseline,Khamenei-Hub,0xeb9ca8fdfac0652a97c0e1a48c1178d32d3a6b8f,152,144,59331951505.159996,59331951505.159996,0.0015762322036234574
Baseline,Khamenei-Hub-2,0x9b0c45d46d386cedd98873168c36efd0dcba8d46,55,118,171203681898.89,75537855855.47,0.0022656552228127766
Maduro,Maduro-Hub,0xeae7380dd4cef6fbd1144f49e4d1e6964258a4f4,2,2,8439117875341.459,8428777036537.934,0.02718689215186552
Maduro,Maduro-Sink,0xf977814e90da44bfa03b6295a0616a897441acec,6,16964,4364313779732.001,0.0,0.01466060605275667
Maduro,Maduro-Hub-2,0xfbd4cdb413e45a52e2c8312f670e9ce67e794c37,11,11,2287362746669.398,2272182763151.192,0.009159688377557847
Maduro,Khamenei-Antecipador,0xb334a61a6209f14b5fa5f1684a4ed7621f66e1ef,22,22,1309449385627.8923,1302165091156.4883,0.0017112669776395738
Maduro,Khamenei-Hub,0xeb9ca8fdfac0652a97c0e1a48c1178d32d3a6b8f,103,105,178567587442.94,178567586036.94,0.001390276043264359
Maduro,Khamenei-Hub-2,0x9b0c45d46d386cedd98873168c36efd0dcba8d46,88,81,215532970581.51,258571001235.88,0.002308363547078301
Khamenei,Maduro-Hub,0xeae7380dd4cef6fbd1144f49e4d1e6964258a4f4,55,54,237222264738.02,237222264738.02002,0.0018251166094378117
Khamenei,Maduro-Hub-2,0xfbd4cdb413e45a52e2c8312f670e9ce67e794c37,23,21,730237966479.0962,725297372963.8523,0.012653064736276599
Khamenei,Khamenei-Antecipador,0xb334a61a6209f14b5fa5f1684a4ed7621f66e1ef,5,6,1968308542889.2444,1940631330651.4407,0.036371686863403016
Khamenei,Khamenei-Hub,0xeb9ca8fdfac0652a97c0e1a48c1178d32d3a6b8f,24,22,722788708865.0,722788708852.0,0.005088628209838751
Khamenei,Khamenei-Hub-2,0x9b0c45d46d386cedd98873168c36efd0dcba8d46,14,20,1188764128150.26,793011462118.0,0.00695021867961124
