Janela,address,group,rank_in_vol,rank_out_vol,in_vol,out_vol,in_deg,out_deg
Baseline,0xeb9ca8fdfac0652a97c0e1a48c1178d32d3a6b8f,khamenei,152,144,59331951505.16,59331951505.16,1,1
Baseline,0x9b0c45d46d386cedd98873168c36efd0dcba8d46,khamenei,55,118,171203681898.89,75537855855.47,2,2
Baseline,0xeae7380dd4cef6fbd1144f49e4d1e6964258a4f4,maduro,21,22,504555348679.39,504555348679.39,7,1
Baseline,0xb334a61a6209f14b5fa5f1684a4ed7621f66e1ef,khamenei,29,28,405685706555.1862,401135900945.7265,25,63
Baseline,0xfbd4cdb413e45a52e2c8312f670e9ce67e794c37,maduro,47,48,223287789150.5292,218302842278.89676,9,7
Maduro_1_Antes,0xeb9ca8fdfac0652a97c0e1a48c1178d32d3a6b8f,khamenei,68,68,147076584703.78,147076584198.78,4,1
Maduro_1_Antes,0x9b0c45d46d386cedd98873168c36efd0dcba8d46,khamenei,70,61,143507267222.50003,200479634034.86,8,3
Maduro_1_Antes,0xeae7380dd4cef6fbd1144f49e4d1e6964258a4f4,maduro,2,2,3538826702191.7563,3538826702191.7563,20,1
Maduro_1_Antes,0xb334a61a6209f14b5fa5f1684a4ed7621f66e1ef,khamenei,16,15,722103168429.6904,728266326349.0,24,63
Maduro_1_Antes,0xf977814e90da44bfa03b6295a0616a897441acec,maduro,6,6958,1968656949117.732,0.0,1,0
Maduro_1_Antes,0xfbd4cdb413e45a52e2c8312f670e9ce67e794c37,maduro,11,10,1016248427685.4537,1003846418706.1494,10,7
Maduro_2_Choque,0xeb9ca8fdfac0652a97c0e1a48c1178d32d3a6b8f,khamenei,190,183,7374912811.17,7374912611.17,3,1
Maduro_2_Choque,0x9b0c45d46d386cedd98873168c36efd0dcba8d46,khamenei,3356,184,100.01,7374912611.17,2,1
Maduro_2_Choque,0xeae7380dd4cef6fbd1144f49e4d1e6964258a4f4,maduro,2,2,1201121308839.782,1147846761497.782,13,1
Maduro_2_Choque,0xb334a61a6209f14b5fa5f1684a4ed7621f66e1ef,khamenei,15,16,242504369074.30655,262184266864.0,34,39
Maduro_2_Choque,0xfbd4cdb413e45a52e2c8312f670e9ce67e794c37,maduro,11,12,361262999663.5111,365178010915.48236,10,7
Maduro_3_Depois,0xeb9ca8fdfac0652a97c0e1a48c1178d32d3a6b8f,khamenei,214,209,24116089927.989998,24116089226.989998,6,1
Maduro_3_Depois,0x9b0c45d46d386cedd98873168c36efd0dcba8d46,khamenei,97,128,72025703259.0,50716454589.85,7,3
Maduro_3_Depois,0xeae7380dd4cef6fbd1144f49e4d1e6964258a4f4,maduro,2,2,3699169864309.92,3742103572848.39,21,1
Maduro_3_Depois,0xb334a61a6209f14b5fa5f1684a4ed7621f66e1ef,khamenei,34,41,344841848123.89545,311714497943.4883,45,41
Maduro_3_Depois,0xf977814e90da44bfa03b6295a0616a897441acec,maduro,3,9342,2395656830614.269,0.0,1,0
Maduro_3_Depois,0xfbd4cdb413e45a52e2c8312f670e9ce67e794c37,maduro,17,15,909851319320.4331,903158333529.5588,12,7
Khamenei_1_Antes,0xeb9ca8fdfac0652a97c0e1a48c1178d32d3a6b8f,khamenei,29,29,264966108307.0,264966108302.0,2,1
Khamenei_1_Antes,0x9b0c45d46d386cedd98873168c36efd0dcba8d46,khamenei,21,27,393238681252.81,279155933406.0,3,2
Khamenei_1_Antes,0xeae7380dd4cef6fbd1144f49e4d1e6964258a4f4,maduro,78,76,70391171074.0,70391171074.0,2,1
Khamenei_1_Antes,0xb334a61a6209f14b5fa5f1684a4ed7621f66e1ef,khamenei,3,3,1199726743315.9001,1173077124847.3008,13,60
Khamenei_1_Antes,0xfbd4cdb413e45a52e2c8312f670e9ce67e794c37,maduro,23,20,386564677393.2128,382492697228.2328,8,6
Khamenei_2_Choque,0xeb9ca8fdfac0652a97c0e1a48c1178d32d3a6b8f,khamenei,14,19,100322617509.0,100322617507.0,2,1
Khamenei_2_Choque,0x9b0c45d46d386cedd98873168c36efd0dcba8d46,khamenei,15,18,97677869683.98999,100322617507.0,1,1
Khamenei_2_Choque,0xeae7380dd4cef6fbd1144f49e4d1e6964258a4f4,maduro,157,155,6111347565.0,6111347565.0,1,1
Khamenei_2_Choque,0xb334a61a6209f14b5fa5f1684a4ed7621f66e1ef,khamenei,9,10,160302043399.53244,189121908717.9195,10,31
Khamenei_2_Choque,0xfbd4cdb413e45a52e2c8312f670e9ce67e794c37,maduro,27,25,55977870710.89276,71655574156.55551,3,5
Khamenei_3_Depois,0xeb9ca8fdfac0652a97c0e1a48c1178d32d3a6b8f,khamenei,18,19,357499983049.0,357499983043.0,2,1
Khamenei_3_Depois,0x9b0c45d46d386cedd98873168c36efd0dcba8d46,khamenei,7,15,697847577213.46,413532911205.0,2,2
Khamenei_3_Depois,0xeae7380dd4cef6fbd1144f49e4d1e6964258a4f4,maduro,41,39,160719746099.02,160719746099.02,5,1
Khamenei_3_Depois,0xb334a61a6209f14b5fa5f1684a4ed7621f66e1ef,khamenei,8,9,608279756173.8119,578432297086.2205,12,61
Khamenei_3_Depois,0xfbd4cdb413e45a52e2c8312f670e9ce67e794c37,maduro,24,25,287695418374.991,271149101579.0636,8,6
