Grafo,descricao,address,componente,in_vol,out_vol
Baseline,Maduro-Hub,0xeae7380dd4cef6fbd1144f49e4d1e6964258a4f4,SCC,504555348679.39,504555348679.39
Baseline,Maduro-Hub-2,0xfbd4cdb413e45a52e2c8312f670e9ce67e794c37,SCC,223287789150.52917,218302842278.8968
Baseline,Khamenei-Antecipador,0xb334a61a6209f14b5fa5f1684a4ed7621f66e1ef,SCC,405685706555.18616,401135900945.7265
Baseline,Khamenei-Hub,0xeb9ca8fdfac0652a97c0e1a48c1178d32d3a6b8f,SCC,59331951505.159996,59331951505.159996
Baseline,Khamenei-Hub-2,0x9b0c45d46d386cedd98873168c36efd0dcba8d46,SCC,171203681898.89,75537855855.47
Maduro,Maduro-Hub,0xeae7380dd4cef6fbd1144f49e4d1e6964258a4f4,SCC,8439117875341.459,8428777036537.934
Maduro,Maduro-Sink,0xf977814e90da44bfa03b6295a0616a897441acec,OUT,4364313779732.001,0.0
Maduro,Maduro-Hub-2,0xfbd4cdb413e45a52e2c8312f670e9ce67e794c37,SCC,2287362746669.398,2272182763151.192
Maduro,Khamenei-Antecipador,0xb334a61a6209f14b5fa5f1684a4ed7621f66e1ef,SCC,1309449385627.8923,1302165091156.4883
Maduro,Khamenei-Hub,0xeb9ca8fdfac0652a97c0e1a48c1178d32d3a6b8f,SCC,178567587442.94,178567586036.94
Maduro,Khamenei-Hub-2,0x9b0c45d46d386cedd98873168c36efd0dcba8d46,SCC,215532970581.51,258571001235.88
Khamenei,Maduro-Hub,0xeae7380dd4cef6fbd1144f49e4d1e6964258a4f4,SCC,237222264738.02,237222264738.02002
Khamenei,Maduro-Hub-2,0xfbd4cdb413e45a52e2c8312f670e9ce67e794c37,SCC,730237966479.0962,725297372963.8523
Khamenei,Khamenei-Antecipador,0xb334a61a6209f14b5fa5f1684a4ed7621f66e1ef,SCC,1968308542889.2444,1940631330651.4407
Khamenei,Khamenei-Hub,0xeb9ca8fdfac0652a97c0e1a48c1178d32d3a6b8f,SCC,722788708865.0,722788708852.0
Khamenei,Khamenei-Hub-2,0x9b0c45d46d386cedd98873168c36efd0dcba8d46,SCC,1188764128150.26,793011462118.0
