Janela,address,descricao,componente,in_volume,out_volume
Baseline,0xeae7380dd4cef6fbd1144f49e4d1e6964258a4f4,Maduro-Hub (rank#2 vol),SCC,504555348679.39,504555348679.39
Baseline,0xfbd4cdb413e45a52e2c8312f670e9ce67e794c37,Maduro-Hub-2,SCC,223287789150.5292,218302842278.89676
Baseline,0xb334a61a6209f14b5fa5f1684a4ed7621f66e1ef,Khamenei-Antes (rank#3 vol),SCC,405685706555.1862,401135900945.7265
Baseline,0xeb9ca8fdfac0652a97c0e1a48c1178d32d3a6b8f,Khamenei-Hub,SCC,59331951505.16,59331951505.16
Baseline,0x9b0c45d46d386cedd98873168c36efd0dcba8d46,Khamenei-Hub-2,SCC,171203681898.89,75537855855.47
Maduro_1_Antes,0xeae7380dd4cef6fbd1144f49e4d1e6964258a4f4,Maduro-Hub (rank#2 vol),SCC,3538826702191.7563,3538826702191.7563
Maduro_1_Antes,0xfbd4cdb413e45a52e2c8312f670e9ce67e794c37,Maduro-Hub-2,SCC,1016248427685.4537,1003846418706.1494
Maduro_1_Antes,0xf977814e90da44bfa03b6295a0616a897441acec,Maduro-Sink (zero out-edges),OUT,1968656949117.732,0.0
Maduro_1_Antes,0xb334a61a6209f14b5fa5f1684a4ed7621f66e1ef,Khamenei-Antes (rank#3 vol),SCC,722103168429.6904,728266326349.0
Maduro_1_Antes,0xeb9ca8fdfac0652a97c0e1a48c1178d32d3a6b8f,Khamenei-Hub,SCC,147076584703.78,147076584198.78
Maduro_1_Antes,0x9b0c45d46d386cedd98873168c36efd0dcba8d46,Khamenei-Hub-2,SCC,143507267222.50003,200479634034.86
Maduro_2_Choque,0xeae7380dd4cef6fbd1144f49e4d1e6964258a4f4,Maduro-Hub (rank#2 vol),SCC,1201121308839.782,1147846761497.782
Maduro_2_Choque,0xfbd4cdb413e45a52e2c8312f670e9ce67e794c37,Maduro-Hub-2,SCC,361262999663.5111,365178010915.48236
Maduro_2_Choque,0xb334a61a6209f14b5fa5f1684a4ed7621f66e1ef,Khamenei-Antes (rank#3 vol),SCC,242504369074.30655,262184266864.0
Maduro_2_Choque,0xeb9ca8fdfac0652a97c0e1a48c1178d32d3a6b8f,Khamenei-Hub,IN,7374912811.17,7374912611.17
Maduro_2_Choque,0x9b0c45d46d386cedd98873168c36efd0dcba8d46,Khamenei-Hub-2,IN,100.01,7374912611.17
Maduro_3_Depois,0xeae7380dd4cef6fbd1144f49e4d1e6964258a4f4,Maduro-Hub (rank#2 vol),SCC,3699169864309.92,3742103572848.39
Maduro_3_Depois,0xfbd4cdb413e45a52e2c8312f670e9ce67e794c37,Maduro-Hub-2,SCC,909851319320.4331,903158333529.5588
Maduro_3_Depois,0xf977814e90da44bfa03b6295a0616a897441acec,Maduro-Sink (zero out-edges),OUT,2395656830614.269,0.0
Maduro_3_Depois,0xb334a61a6209f14b5fa5f1684a4ed7621f66e1ef,Khamenei-Antes (rank#3 vol),SCC,344841848123.89545,311714497943.4883
Maduro_3_Depois,0xeb9ca8fdfac0652a97c0e1a48c1178d32d3a6b8f,Khamenei-Hub,SCC,24116089927.989998,24116089226.989998
Maduro_3_Depois,0x9b0c45d46d386cedd98873168c36efd0dcba8d46,Khamenei-Hub-2,SCC,72025703259.0,50716454589.85
Khamenei_1_Antes,0xeae7380dd4cef6fbd1144f49e4d1e6964258a4f4,Maduro-Hub (rank#2 vol),SCC,70391171074.0,70391171074.0
Khamenei_1_Antes,0xfbd4cdb413e45a52e2c8312f670e9ce67e794c37,Maduro-Hub-2,SCC,386564677393.2128,382492697228.2328
Khamenei_1_Antes,0xb334a61a6209f14b5fa5f1684a4ed7621f66e1ef,Khamenei-Antes (rank#3 vol),SCC,1199726743315.9001,1173077124847.3008
Khamenei_1_Antes,0xeb9ca8fdfac0652a97c0e1a48c1178d32d3a6b8f,Khamenei-Hub,SCC,264966108307.0,264966108302.0
Khamenei_1_Antes,0x9b0c45d46d386cedd98873168c36efd0dcba8d46,Khamenei-Hub-2,SCC,393238681252.81,279155933406.0
Khamenei_2_Choque,0xeae7380dd4cef6fbd1144f49e4d1e6964258a4f4,Maduro-Hub (rank#2 vol),IN,6111347565.0,6111347565.0
Khamenei_2_Choque,0xfbd4cdb413e45a52e2c8312f670e9ce67e794c37,Maduro-Hub-2,SCC,55977870710.89276,71655574156.55551
Khamenei_2_Choque,0xb334a61a6209f14b5fa5f1684a4ed7621f66e1ef,Khamenei-Antes (rank#3 vol),SCC,160302043399.53244,189121908717.9195
Khamenei_2_Choque,0xeb9ca8fdfac0652a97c0e1a48c1178d32d3a6b8f,Khamenei-Hub,SCC,100322617509.0,100322617507.0
Khamenei_2_Choque,0x9b0c45d46d386cedd98873168c36efd0dcba8d46,Khamenei-Hub-2,SCC,97677869683.98999,100322617507.0
Khamenei_3_Depois,0xeae7380dd4cef6fbd1144f49e4d1e6964258a4f4,Maduro-Hub (rank#2 vol),SCC,160719746099.02,160719746099.02
Khamenei_3_Depois,0xfbd4cdb413e45a52e2c8312f670e9ce67e794c37,Maduro-Hub-2,SCC,287695418374.991,271149101579.0636
Khamenei_3_Depois,0xb334a61a6209f14b5fa5f1684a4ed7621f66e1ef,Khamenei-Antes (rank#3 vol),SCC,608279756173.8119,578432297086.2205
Khamenei_3_Depois,0xeb9ca8fdfac0652a97c0e1a48c1178d32d3a6b8f,Khamenei-Hub,SCC,357499983049.0,357499983043.0
Khamenei_3_Depois,0x9b0c45d46d386cedd98873168c36efd0dcba8d46,Khamenei-Hub-2,SCC,697847577213.46,413532911205.0
