dataset,date,n_nodes,n_edges,avg_deg,gini_vol,top1_pr_share,top20_pr_share,ratio_out_in,vol_in_to_scc,scc_pct,avg_vol,rank_0xeae738,invol_0xeae738,rank_0xf97781,invol_0xf97781,rank_0xfbd4cd,invol_0xfbd4cd,rank_0xb334a6,invol_0xb334a6,rank_0xeb9ca8,invol_0xeb9ca8,rank_0x9b0c45,invol_0x9b0c45
Baseline,2025-10-16,2729,3432,2.515,0.9387,0.05838,0.2777,1.223,0.104,0.1942,2269564809.0105824,13.0,119289570803.0,,0.0,58,21395168041.25305,62,19920558020.21683,63.0,19910494418.190002,127.0,8615903619.0
Baseline,2025-10-17,3879,4830,2.49,0.9477,0.04178,0.3495,0.564,0.145,0.1356,3063244509.257565,31.0,100713106191.0,,0.0,57,50529564635.705475,23,142193646923.7944,,0.0,42.0,79111846107.25
Baseline,2025-10-18,2242,2654,2.368,0.9487,0.03372,0.2694,1.144,0.118,0.1178,1702236713.7160008,,0.0,,0.0,99,5389954084.18738,111,4333949123.19985,112.0,4185858460.0,72.0,9020323835.0
Baseline,2025-10-19,2085,2492,2.39,0.9459,0.0425,0.2926,1.457,0.1338,0.1329,1338314332.2869103,11.0,67512839266.0,,0.0,17,39796569009.33623,19,30623125638.802746,63.0,7036648659.23,61.0,7203323959.999999
Baseline,2025-10-20,2321,2947,2.539,0.9468,0.03325,0.2581,1.154,0.1336,0.1435,2099239256.706623,46.0,24860663384.43,,0.0,30,40819212159.93982,16,80370624968.75911,54.0,17186085024.0,31.0,40595519682.229996
Baseline,2025-10-21,2540,3219,2.535,0.9268,0.03134,0.2973,0.903,0.1281,0.1547,1588984751.9735293,,0.0,,0.0,65,14529472786.465397,49,20625060174.419647,82.0,11012864943.74,92.0,9035454916.0
Baseline,2025-10-22,2509,3102,2.473,0.9381,0.03721,0.2437,0.978,0.1163,0.1594,2081026319.536016,9.0,105248176125.0,,0.0,62,18291076758.597363,14,81431138261.39723,,0.0,,0.0
Baseline,2025-10-23,2515,3022,2.403,0.9497,0.04421,0.2891,1.075,0.0783,0.1328,1505092026.3435433,13.0,86930992909.96,,0.0,30,32536771675.044487,36,26187603444.596386,,0.0,47.0,17621309779.41
Maduro,2025-12-31,2747,3754,2.733,0.9634,0.03652,0.2822,0.926,0.0781,0.1343,1223940542.7835848,11.0,95592022447.0,,0.0,15,70321199848.2943,96,5511656379.108673,17.0,68188034563.0,16.0,68446406618.01
Maduro,2026-01-01,2998,4752,3.17,0.9656,0.07677,0.3654,0.716,0.0852,0.1404,3050998010.2830663,2.0,1133948798799.16,,0.0,16,178406704839.58762,14,216610403431.8049,35.0,58722078208.0,40.0,50906348685.00002
Maduro,2026-01-02,6218,10128,3.258,0.9663,0.07191,0.3105,0.921,0.0677,0.17,4444219583.557429,2.0,2309285880945.5967,3.0,1968656949117.732,11,767520522997.5718,18,499981108618.77686,178.0,20166471932.78,154.0,24154511919.489998
Maduro,2026-01-03,4901,7901,3.224,0.9705,0.07866,0.3471,0.852,0.0442,0.1685,2297422865.6956377,2.0,1201121308839.782,,0.0,11,361262999663.5111,15,242504369074.30655,190.0,7374912811.17,3356.0,100.01
Maduro,2026-01-04,6478,10693,3.301,0.9715,0.08235,0.3353,0.75,0.0542,0.1433,2018285371.0675447,2.0,1811333084496.8208,,0.0,10,440794357937.28766,31,126246712900.37704,198.0,7660584446.99,183.0,9407147249.01
Maduro,2026-01-05,5676,9143,3.222,0.973,0.05787,0.2799,0.665,0.0501,0.1668,2503258603.11417,5.0,859301971187.3191,1.0,2395656830614.269,23,219289071330.718,43,80045229870.65913,183.0,9986611161.01,166.0,11406793928.0
Maduro,2026-01-06,4758,6970,2.93,0.9727,0.06502,0.3131,0.736,0.0599,0.1713,3035762105.235691,4.0,1028534808625.7802,,0.0,18,249767890052.42743,26,138549905352.85925,205.0,6468894319.99,52.0,51211762081.990005
Khamenei,2026-02-25,10818,11767,2.175,0.9498,0.17157,0.5111,0.088,0.1563,0.0425,896270009.8042263,44.0,52016880600.0,,0.0,19,163591650220.93475,21,119176778588.17435,24.0,100636490972.0,25.0,99975959842.53
Khamenei,2026-02-26,2465,3392,2.752,0.9377,0.04394,0.3071,1.588,0.0377,0.1838,3418298507.033044,87.0,18374290474.0,,0.0,23,88992103289.16017,2,678288633658.8828,25.0,78942593948.0,49.0,42698078060.990005
Khamenei,2026-02-27,2101,2758,2.625,0.9418,0.03802,0.2358,2.054,0.1011,0.1766,4384962091.986051,,0.0,,0.0,20,133980923883.11789,11,402261331068.843,30.0,85387023387.0,15.0,250564643349.29
Khamenei,2026-02-28,2199,2932,2.667,0.9186,0.0371,0.2245,1.662,0.1803,0.1796,2656257380.401018,157.0,6111347565.0,,0.0,27,55977870710.89276,9,160302043399.53244,14.0,100322617509.0,15.0,97677869683.98999
Khamenei,2026-03-01,2041,2867,2.809,0.9319,0.04968,0.2782,1.869,0.0811,0.1955,2746526394.7631454,,0.0,,0.0,29,69460016880.21846,4,303573344750.77966,17.0,100896889741.0,16.0,101471288226.83
Khamenei,2026-03-02,1855,2497,2.692,0.9314,0.04379,0.3181,1.253,0.1294,0.228,4331228409.208001,33.0,90933091811.01,,0.0,26,114372783301.18295,17,169779770466.0271,20.0,146471022143.0,5.0,434391421243.83
Khamenei,2026-03-03,1739,2288,2.631,0.9279,0.03325,0.2932,1.341,0.0934,0.1806,3773194866.771416,25.0,69786654288.01,,0.0,18,103862618193.58958,14,134926640957.00513,16.0,110132071165.0,9.0,161984867742.8
