Janela,descricao,address,k_core,k_max,percentil_k,vol_total
Baseline,Maduro-Hub,0xeae7380dd4cef6fbd1144f49e4d1e6964258a4f4,5,8,0.992,1009110697358.78
Baseline,Maduro-Hub-2,0xfbd4cdb413e45a52e2c8312f670e9ce67e794c37,7,8,0.9958,441590631429.42596
Baseline,Khamenei-Antecipador,0xb334a61a6209f14b5fa5f1684a4ed7621f66e1ef,5,8,0.992,806821607500.9127
Baseline,Khamenei-Hub,0xeb9ca8fdfac0652a97c0e1a48c1178d32d3a6b8f,2,8,0.9528,118663903010.32
Baseline,Khamenei-Hub-2,0x9b0c45d46d386cedd98873168c36efd0dcba8d46,2,8,0.9528,246741537754.36002
Maduro_1_Antes,Maduro-Hub,0xeae7380dd4cef6fbd1144f49e4d1e6964258a4f4,7,9,0.9925,7077653404383.513
Maduro_1_Antes,Maduro-Sink,0xf977814e90da44bfa03b6295a0616a897441acec,1,9,0.549,1968656949117.732
Maduro_1_Antes,Maduro-Hub-2,0xfbd4cdb413e45a52e2c8312f670e9ce67e794c37,7,9,0.9925,2020094846391.603
Maduro_1_Antes,Khamenei-Antecipador,0xb334a61a6209f14b5fa5f1684a4ed7621f66e1ef,7,9,0.9925,1450369494778.6904
Maduro_1_Antes,Khamenei-Hub,0xeb9ca8fdfac0652a97c0e1a48c1178d32d3a6b8f,3,9,0.95,294153168902.56
Maduro_1_Antes,Khamenei-Hub-2,0x9b0c45d46d386cedd98873168c36efd0dcba8d46,3,9,0.95,343986901257.36
Maduro_2_Choque,Maduro-Hub,0xeae7380dd4cef6fbd1144f49e4d1e6964258a4f4,5,7,0.9849,2348968070337.564
Maduro_2_Choque,Maduro-Hub-2,0xfbd4cdb413e45a52e2c8312f670e9ce67e794c37,6,7,0.9961,726441010578.9934
Maduro_2_Choque,Khamenei-Antecipador,0xb334a61a6209f14b5fa5f1684a4ed7621f66e1ef,5,7,0.9849,504688635938.3065
Maduro_2_Choque,Khamenei-Hub,0xeb9ca8fdfac0652a97c0e1a48c1178d32d3a6b8f,2,7,0.889,14749825422.34
Maduro_2_Choque,Khamenei-Hub-2,0x9b0c45d46d386cedd98873168c36efd0dcba8d46,2,7,0.889,7374912711.18
Maduro_3_Depois,Maduro-Hub,0xeae7380dd4cef6fbd1144f49e4d1e6964258a4f4,7,9,0.9925,7441273437158.311
Maduro_3_Depois,Maduro-Sink,0xf977814e90da44bfa03b6295a0616a897441acec,1,9,0.531,2395656830614.269
Maduro_3_Depois,Maduro-Hub-2,0xfbd4cdb413e45a52e2c8312f670e9ce67e794c37,7,9,0.9925,1813009652849.992
Maduro_3_Depois,Khamenei-Antecipador,0xb334a61a6209f14b5fa5f1684a4ed7621f66e1ef,6,9,0.988,656556346067.3838
Maduro_3_Depois,Khamenei-Hub,0xeb9ca8fdfac0652a97c0e1a48c1178d32d3a6b8f,4,9,0.9706,48232179154.979996
Maduro_3_Depois,Khamenei-Hub-2,0x9b0c45d46d386cedd98873168c36efd0dcba8d46,4,9,0.9706,122742157848.85
Khamenei_1_Antes,Maduro-Hub,0xeae7380dd4cef6fbd1144f49e4d1e6964258a4f4,3,6,0.9808,140782342148.0
Khamenei_1_Antes,Maduro-Hub-2,0xfbd4cdb413e45a52e2c8312f670e9ce67e794c37,5,6,0.9935,769057374621.4456
Khamenei_1_Antes,Khamenei-Antecipador,0xb334a61a6209f14b5fa5f1684a4ed7621f66e1ef,6,6,1.0,2372803868163.201
Khamenei_1_Antes,Khamenei-Hub,0xeb9ca8fdfac0652a97c0e1a48c1178d32d3a6b8f,3,6,0.9808,529932216609.0
Khamenei_1_Antes,Khamenei-Hub-2,0x9b0c45d46d386cedd98873168c36efd0dcba8d46,3,6,0.9808,672394614658.81
Khamenei_2_Choque,Maduro-Hub,0xeae7380dd4cef6fbd1144f49e4d1e6964258a4f4,2,5,0.9209,12222695130.0
Khamenei_2_Choque,Maduro-Hub-2,0xfbd4cdb413e45a52e2c8312f670e9ce67e794c37,4,5,0.9895,127633444867.44827
Khamenei_2_Choque,Khamenei-Antecipador,0xb334a61a6209f14b5fa5f1684a4ed7621f66e1ef,4,5,0.9895,349423952117.4519
Khamenei_2_Choque,Khamenei-Hub,0xeb9ca8fdfac0652a97c0e1a48c1178d32d3a6b8f,2,5,0.9209,200645235016.0
Khamenei_2_Choque,Khamenei-Hub-2,0x9b0c45d46d386cedd98873168c36efd0dcba8d46,2,5,0.9209,198000487190.99
Khamenei_3_Depois,Maduro-Hub,0xeae7380dd4cef6fbd1144f49e4d1e6964258a4f4,5,6,0.9848,321439492198.04
Khamenei_3_Depois,Maduro-Hub-2,0xfbd4cdb413e45a52e2c8312f670e9ce67e794c37,6,6,1.0,558844519954.0547
Khamenei_3_Depois,Khamenei-Antecipador,0xb334a61a6209f14b5fa5f1684a4ed7621f66e1ef,6,6,1.0,1186712053260.0322
Khamenei_3_Depois,Khamenei-Hub,0xeb9ca8fdfac0652a97c0e1a48c1178d32d3a6b8f,3,6,0.9569,714999966092.0
Khamenei_3_Depois,Khamenei-Hub-2,0x9b0c45d46d386cedd98873168c36efd0dcba8d46,3,6,0.9569,1111380488418.46
