Grafo,descricao,address,k_core,k_max,percentil_k,vol
Baseline,Maduro-Hub,0xeae7380dd4cef6fbd1144f49e4d1e6964258a4f4,5,8,0.992,1009110697358.78
Baseline,Maduro-Hub-2,0xfbd4cdb413e45a52e2c8312f670e9ce67e794c37,7,8,0.9958,441590631429.42596
Baseline,Khamenei-Antecipador,0xb334a61a6209f14b5fa5f1684a4ed7621f66e1ef,5,8,0.992,806821607500.9126
Baseline,Khamenei-Hub,0xeb9ca8fdfac0652a97c0e1a48c1178d32d3a6b8f,2,8,0.9528,118663903010.31999
Baseline,Khamenei-Hub-2,0x9b0c45d46d386cedd98873168c36efd0dcba8d46,2,8,0.9528,246741537754.36002
Maduro,Maduro-Hub,0xeae7380dd4cef6fbd1144f49e4d1e6964258a4f4,9,10,0.9968,16867894911879.393
Maduro,Maduro-Sink,0xf977814e90da44bfa03b6295a0616a897441acec,1,10,0.5191,4364313779732.001
Maduro,Maduro-Hub-2,0xfbd4cdb413e45a52e2c8312f670e9ce67e794c37,7,10,0.9905,4559545509820.59
Maduro,Khamenei-Antecipador,0xb334a61a6209f14b5fa5f1684a4ed7621f66e1ef,9,10,0.9968,2611614476784.381
Maduro,Khamenei-Hub,0xeb9ca8fdfac0652a97c0e1a48c1178d32d3a6b8f,4,10,0.9733,357135173479.88
Maduro,Khamenei-Hub-2,0x9b0c45d46d386cedd98873168c36efd0dcba8d46,4,10,0.9733,474103971817.39
Khamenei,Maduro-Hub,0xeae7380dd4cef6fbd1144f49e4d1e6964258a4f4,6,8,0.994,474444529476.04004
Khamenei,Maduro-Hub-2,0xfbd4cdb413e45a52e2c8312f670e9ce67e794c37,6,8,0.994,1455535339442.9485
Khamenei,Khamenei-Antecipador,0xb334a61a6209f14b5fa5f1684a4ed7621f66e1ef,8,8,1.0,3908939873540.685
Khamenei,Khamenei-Hub,0xeb9ca8fdfac0652a97c0e1a48c1178d32d3a6b8f,3,8,0.9769,1445577417717.0
Khamenei,Khamenei-Hub-2,0x9b0c45d46d386cedd98873168c36efd0dcba8d46,3,8,0.9769,1981775590268.26
