Janela,descricao,address,clustering,percentil_clustering,triangulos,degree,vol_total
Baseline,Maduro-Hub,0xeae7380dd4cef6fbd1144f49e4d1e6964258a4f4,0.0037,0.8046,3,8,1009110697358.78
Baseline,Maduro-Hub-2,0xfbd4cdb413e45a52e2c8312f670e9ce67e794c37,0.0047,0.805,5,10,441590631429.42596
Baseline,Khamenei-Antecipador,0xb334a61a6209f14b5fa5f1684a4ed7621f66e1ef,0.0,0.798,0,85,806821607500.9127
Baseline,Khamenei-Hub,0xeb9ca8fdfac0652a97c0e1a48c1178d32d3a6b8f,0.0468,0.8185,1,2,118663903010.32
Baseline,Khamenei-Hub-2,0x9b0c45d46d386cedd98873168c36efd0dcba8d46,0.0169,0.8126,3,4,246741537754.36002
Maduro_1_Antes,Maduro-Hub,0xeae7380dd4cef6fbd1144f49e4d1e6964258a4f4,0.0026,0.8555,8,21,7077653404383.513
Maduro_1_Antes,Maduro-Sink,0xf977814e90da44bfa03b6295a0616a897441acec,0.0,0.8508,0,1,1968656949117.732
Maduro_1_Antes,Maduro-Hub-2,0xfbd4cdb413e45a52e2c8312f670e9ce67e794c37,0.0038,0.8571,6,11,2020094846391.603
Maduro_1_Antes,Khamenei-Antecipador,0xb334a61a6209f14b5fa5f1684a4ed7621f66e1ef,0.0,0.8508,0,87,1450369494778.6904
Maduro_1_Antes,Khamenei-Hub,0xeb9ca8fdfac0652a97c0e1a48c1178d32d3a6b8f,0.0041,0.8575,3,5,294153168902.56
Maduro_1_Antes,Khamenei-Hub-2,0x9b0c45d46d386cedd98873168c36efd0dcba8d46,0.0008,0.8532,5,11,343986901257.36
Maduro_2_Choque,Maduro-Hub,0xeae7380dd4cef6fbd1144f49e4d1e6964258a4f4,0.0043,0.873,1,14,2348968070337.564
Maduro_2_Choque,Maduro-Hub-2,0xfbd4cdb413e45a52e2c8312f670e9ce67e794c37,0.006,0.8741,3,11,726441010578.9934
Maduro_2_Choque,Khamenei-Antecipador,0xb334a61a6209f14b5fa5f1684a4ed7621f66e1ef,0.0,0.8688,0,73,504688635938.3065
Maduro_2_Choque,Khamenei-Hub,0xeb9ca8fdfac0652a97c0e1a48c1178d32d3a6b8f,0.0,0.8688,0,4,14749825422.34
Maduro_2_Choque,Khamenei-Hub-2,0x9b0c45d46d386cedd98873168c36efd0dcba8d46,0.0,0.8688,0,3,7374912711.18
Maduro_3_Depois,Maduro-Hub,0xeae7380dd4cef6fbd1144f49e4d1e6964258a4f4,0.0025,0.8529,4,22,7441273437158.311
Maduro_3_Depois,Maduro-Sink,0xf977814e90da44bfa03b6295a0616a897441acec,0.0,0.8483,0,1,2395656830614.269
Maduro_3_Depois,Maduro-Hub-2,0xfbd4cdb413e45a52e2c8312f670e9ce67e794c37,0.003,0.8532,5,13,1813009652849.992
Maduro_3_Depois,Khamenei-Antecipador,0xb334a61a6209f14b5fa5f1684a4ed7621f66e1ef,0.0,0.8483,0,84,656556346067.3838
Maduro_3_Depois,Khamenei-Hub,0xeb9ca8fdfac0652a97c0e1a48c1178d32d3a6b8f,0.0004,0.8499,5,7,48232179154.979996
Maduro_3_Depois,Khamenei-Hub-2,0x9b0c45d46d386cedd98873168c36efd0dcba8d46,0.0003,0.8499,6,10,122742157848.85
Khamenei_1_Antes,Maduro-Hub,0xeae7380dd4cef6fbd1144f49e4d1e6964258a4f4,0.0,0.8358,0,3,140782342148.0
Khamenei_1_Antes,Maduro-Hub-2,0xfbd4cdb413e45a52e2c8312f670e9ce67e794c37,0.0075,0.8456,3,9,769057374621.4456
Khamenei_1_Antes,Khamenei-Antecipador,0xb334a61a6209f14b5fa5f1684a4ed7621f66e1ef,0.0,0.8358,0,72,2372803868163.201
Khamenei_1_Antes,Khamenei-Hub,0xeb9ca8fdfac0652a97c0e1a48c1178d32d3a6b8f,0.067,0.869,1,3,529932216609.0
Khamenei_1_Antes,Khamenei-Hub-2,0x9b0c45d46d386cedd98873168c36efd0dcba8d46,0.0275,0.8553,3,5,672394614658.81
Khamenei_2_Choque,Maduro-Hub,0xeae7380dd4cef6fbd1144f49e4d1e6964258a4f4,0.0,0.8706,0,2,12222695130.0
Khamenei_2_Choque,Maduro-Hub-2,0xfbd4cdb413e45a52e2c8312f670e9ce67e794c37,0.0003,0.874,1,6,127633444867.44827
Khamenei_2_Choque,Khamenei-Antecipador,0xb334a61a6209f14b5fa5f1684a4ed7621f66e1ef,0.0,0.8706,0,40,349423952117.4519
Khamenei_2_Choque,Khamenei-Hub,0xeb9ca8fdfac0652a97c0e1a48c1178d32d3a6b8f,0.1133,0.9224,1,3,200645235016.0
Khamenei_2_Choque,Khamenei-Hub-2,0x9b0c45d46d386cedd98873168c36efd0dcba8d46,0.34,0.9595,1,2,198000487190.99
Khamenei_3_Depois,Maduro-Hub,0xeae7380dd4cef6fbd1144f49e4d1e6964258a4f4,0.0042,0.8179,2,6,321439492198.04
Khamenei_3_Depois,Maduro-Hub-2,0xfbd4cdb413e45a52e2c8312f670e9ce67e794c37,0.0078,0.8212,5,9,558844519954.0547
Khamenei_3_Depois,Khamenei-Antecipador,0xb334a61a6209f14b5fa5f1684a4ed7621f66e1ef,0.0,0.8087,0,72,1186712053260.0322
Khamenei_3_Depois,Khamenei-Hub,0xeb9ca8fdfac0652a97c0e1a48c1178d32d3a6b8f,0.1213,0.8603,1,3,714999966092.0
Khamenei_3_Depois,Khamenei-Hub-2,0x9b0c45d46d386cedd98873168c36efd0dcba8d46,0.0606,0.8418,1,4,1111380488418.46
