Grafo,descricao,address,clustering,triangulos,degree
Baseline,Maduro-Hub,0xeae7380dd4cef6fbd1144f49e4d1e6964258a4f4,0.0037,3,8
Baseline,Maduro-Hub-2,0xfbd4cdb413e45a52e2c8312f670e9ce67e794c37,0.0048,5,10
Baseline,Khamenei-Antecipador,0xb334a61a6209f14b5fa5f1684a4ed7621f66e1ef,0.0,0,85
Baseline,Khamenei-Hub,0xeb9ca8fdfac0652a97c0e1a48c1178d32d3a6b8f,0.0468,1,2
Baseline,Khamenei-Hub-2,0x9b0c45d46d386cedd98873168c36efd0dcba8d46,0.0169,3,4
Maduro,Maduro-Hub,0xeae7380dd4cef6fbd1144f49e4d1e6964258a4f4,0.002,11,27
Maduro,Maduro-Sink,0xf977814e90da44bfa03b6295a0616a897441acec,0.0,0,1
Maduro,Maduro-Hub-2,0xfbd4cdb413e45a52e2c8312f670e9ce67e794c37,0.0027,8,14
Maduro,Khamenei-Antecipador,0xb334a61a6209f14b5fa5f1684a4ed7621f66e1ef,0.0,0,161
Maduro,Khamenei-Hub,0xeb9ca8fdfac0652a97c0e1a48c1178d32d3a6b8f,0.001,5,7
Maduro,Khamenei-Hub-2,0x9b0c45d46d386cedd98873168c36efd0dcba8d46,0.0002,8,16
Khamenei,Maduro-Hub,0xeae7380dd4cef6fbd1144f49e4d1e6964258a4f4,0.0017,2,7
Khamenei,Maduro-Hub-2,0xfbd4cdb413e45a52e2c8312f670e9ce67e794c37,0.008,5,9
Khamenei,Khamenei-Antecipador,0xb334a61a6209f14b5fa5f1684a4ed7621f66e1ef,0.0,0,132
Khamenei,Khamenei-Hub,0xeb9ca8fdfac0652a97c0e1a48c1178d32d3a6b8f,0.1067,1,3
Khamenei,Khamenei-Hub-2,0x9b0c45d46d386cedd98873168c36efd0dcba8d46,0.0423,3,5
