dataset,date,d_rel,n_nodes,scc_pct,ratio_out_in,vol_in_to_scc,gini_vol,top20_pr_share,z_n_nodes,z_scc_pct,z_ratio_out_in,z_vol_in_to_scc,z_gini_vol,z_top20_pr_share,anomaly_count,anomaly_score
Baseline,2025-10-16,,2729,0.1942,1.223,0.104,0.9387,0.2777,0.229,2.044,0.615,-0.746,-0.525,-0.219,1,4.378
Baseline,2025-10-17,,3879,0.1356,0.564,0.145,0.9477,0.3495,2.307,-0.46,-1.907,1.21,0.627,2.034,2,8.545
Baseline,2025-10-18,,2242,0.1178,1.144,0.118,0.9487,0.2694,-0.652,-1.221,0.313,-0.078,0.755,-0.479,0,3.498
Baseline,2025-10-19,,2085,0.1329,1.457,0.1338,0.9459,0.2926,-0.935,-0.575,1.511,0.675,0.397,0.249,0,4.343
Baseline,2025-10-20,,2321,0.1435,1.154,0.1336,0.9468,0.2581,-0.509,-0.122,0.351,0.666,0.512,-0.834,0,2.994
Baseline,2025-10-21,,2540,0.1547,0.903,0.1281,0.9268,0.2973,-0.113,0.356,-0.61,0.404,-2.049,0.396,1,3.927
Baseline,2025-10-22,,2509,0.1594,0.978,0.1163,0.9381,0.2437,-0.169,0.557,-0.323,-0.159,-0.602,-1.286,0,3.095
Baseline,2025-10-23,,2515,0.1328,1.075,0.0783,0.9497,0.2891,-0.158,-0.58,0.049,-1.971,0.884,0.139,0,3.78
Maduro,2025-12-31,-3.0,2747,0.1343,0.926,0.0781,0.9634,0.2822,0.261,-0.515,-0.522,-1.981,2.638,-0.078,1,5.995
Maduro,2026-01-01,-2.0,2998,0.1404,0.716,0.0852,0.9656,0.3654,0.715,-0.255,-1.326,-1.642,2.919,2.533,2,9.39
Maduro,2026-01-02,-1.0,6218,0.17,0.921,0.0677,0.9663,0.3105,6.535,1.01,-0.541,-2.477,3.009,0.81,3,14.382
Maduro,2026-01-03,0.0,4901,0.1685,0.852,0.0442,0.9705,0.3471,4.154,0.946,-0.805,-3.598,3.547,1.959,3,15.009
Maduro,2026-01-04,1.0,6478,0.1433,0.75,0.0542,0.9715,0.3353,7.005,-0.131,-1.195,-3.121,3.675,1.588,3,16.715
Maduro,2026-01-05,2.0,5676,0.1668,0.665,0.0501,0.973,0.2799,5.555,0.873,-1.521,-3.316,3.867,-0.15,3,15.282
Maduro,2026-01-06,3.0,4758,0.1713,0.736,0.0599,0.9727,0.3131,3.896,1.066,-1.249,-2.849,3.829,0.892,3,13.78
Khamenei,2026-02-25,-3.0,10818,0.0425,0.088,0.1563,0.9498,0.5111,14.849,-4.439,-3.73,1.749,0.896,7.104,4,32.766
Khamenei,2026-02-26,-2.0,2465,0.1838,1.588,0.0377,0.9377,0.3071,-0.249,1.6,2.013,-3.908,-0.653,0.704,2,9.125
Khamenei,2026-02-27,-1.0,2101,0.1766,2.054,0.1011,0.9418,0.2358,-0.906,1.292,3.797,-0.884,-0.128,-1.533,1,8.541
Khamenei,2026-02-28,0.0,2199,0.1796,1.662,0.1803,0.9186,0.2245,-0.729,1.42,2.296,2.893,-3.099,-1.888,3,12.325
Khamenei,2026-03-01,1.0,2041,0.1955,1.869,0.0811,0.9319,0.2782,-1.015,2.1,3.088,-1.838,-1.396,-0.203,2,9.64
Khamenei,2026-03-02,2.0,1855,0.228,1.253,0.1294,0.9314,0.3181,-1.351,3.489,0.73,0.466,-1.46,1.049,1,8.544
Khamenei,2026-03-03,3.0,1739,0.1806,1.341,0.0934,0.9279,0.2932,-1.561,1.463,1.067,-1.251,-1.908,0.267,0,7.518
