address,auth_score,rank_hub
0x28c6c06298d514db089934071355e5743bf21d60,1.0000000000000004,13902
0x000000000004444c5dc75cb358380d2e3de08a90,2.21345235562443e-18,8549
0x05b5dba037afa4bbafaca15bf9f6bfaaad183fe6,2.1996897220074267e-18,8579
0x6b103e9c53ab6fd657543e03cbbb3139be0893c9,2.12271371491541e-18,13872
0x2cff890f0378a11913b6129b2e97417a2c302680,2.1058263016481066e-18,13908
0x5e196d6069946ef6af2c48f1f9c8f62248d53902,2.089244019198812e-18,13158
0xcee31c846cbf003f4ceb5bbd234cba03c6e940c7,1.883482289875886e-18,8576
0x717c84aaf99e17928d8c10277f444ecfe34f679b,1.8810068174073243e-18,13881
0xca64afc5e76f2ba5859c173e813b6dbf49c6a113,1.7893425588922058e-18,9077
0x248823df26180700e56f632dd7fa64a4d63f9db1,1.6286160526262305e-18,8616
0x35b7ef9f13017e7b4f28a277f5e67bec774bf7b1,1.597393028701309e-18,13384
0x91d40e4818f4d4c57b4578d9eca6afc92ac8debe,1.5685185749926436e-18,8550
0x1f2f10d1c40777ae1da742455c65828ff36df387,1.5207348126313873e-18,8558
0x3202acfd55232f3706aa81a4f18a98686b5e1d1b,1.5164379619087482e-18,8864
0xdd3d72c53ff982ff59853da71158bf1538b3ceee,1.5125610935265958e-18,13398
0x30eff8028abc44b69169eb7e9a10bcc6a8be8a64,1.4762449990141146e-18,12746
0x1231deb6f5749ef6ce6943a275a1d3e7486f4eae,1.4022951385502065e-18,13900
0x9ca10fd6a079122e455f7cf4df73e0b95751d0c4,1.3442142986707454e-18,9661
0x3868276fd6d822f0e5d1aa0588a6284670646be5,1.3280225469416244e-18,9994
0x437f64649600e302f4335be1130f665394015437,1.2472612281807835e-18,8886
