address,hub_score,rank_auth
0x301d9bc22d66f7bc49329a9d9eb16d3ecc4a12b4,0.9999999999999407,5464
0xa43fe16908251ee70ef74718545e4fe6c5ccec9f,3.286816781234995e-15,10032
0x5a1b2acd0c9992e14f2b6d8a326023e35a097a3a,2.611334885172811e-15,1217
0x11950d141ecb863f01007add7d1a342041227b58,1.8415940751102394e-15,1325
0x9b96128a3f770faf7a882af4b0156e6976fed3d0,1.814645862687406e-15,1228
0xdfd5293d8e347dfe59e90efd55b2956a1343963d,1.6109528197175302e-15,10028
0x000000000004444c5dc75cb358380d2e3de08a90,1.4785711290354245e-15,1254
0x543902775229aca2dc79effcd0d8e944d63093d2,1.4577496290026555e-15,5744
0x74de5d4fcbf63e00296fd95d33236b9794016631,6.418535948110452e-16,1223
0x91d40e4818f4d4c57b4578d9eca6afc92ac8debe,6.413688409011896e-16,10031
0x992c59d45dd67706d7aaa118beb331c203858417,5.620580786097536e-16,1244
0x35b7ef9f13017e7b4f28a277f5e67bec774bf7b1,5.306746201653571e-16,1230
0x2ac51184e197248553827704f162234808664759,4.952605696325231e-16,2426
0x5e196d6069946ef6af2c48f1f9c8f62248d53902,4.928341398266838e-16,1259
0xa7bc6c09907fa2ded89f1c8d05374621cb1f88c5,4.744214787196413e-16,2229
0xe40d7f9ca3d1cf3a4f6f64659c3a7341b5d59455,4.545944138435238e-16,1224
0x248823df26180700e56f632dd7fa64a4d63f9db1,4.545008106904453e-16,1272
0x67336cec42645f55059eff241cb02ea5cc52ff86,4.3790648181769945e-16,1331
0x717c84aaf99e17928d8c10277f444ecfe34f679b,4.005309930289818e-16,1241
0xf239009a101b6b930a527deaab6961b6e7dec8a6,3.795272228933432e-16,9873
