address,hub_score,rank_auth
0x301d9bc22d66f7bc49329a9d9eb16d3ecc4a12b4,0.999999999999989,2724
0x700e0841ce0892969d2f9cf523c6298b3ef056a6,6.007203082970403e-16,733
0x21a31ee1afc51d94c2efccaa2092ad1028285549,5.740368636116411e-16,944
0x5a1b2acd0c9992e14f2b6d8a326023e35a097a3a,5.243263040782018e-16,4900
0x28c6c06298d514db089934071355e5743bf21d60,4.306728461669927e-16,718
0xdfd5293d8e347dfe59e90efd55b2956a1343963d,3.7463111333041207e-16,1312
0xefef30bd1cca520619306c95091ab18473febc5c,1.7158049196009655e-16,4897
0x700ee3016e205063e49ce13ebd6ae6b67e9d56a6,1.6590408655178732e-16,368
0x5bdf85216ec1e38d6458c870992a69e38e03f7ef,1.237295645356264e-16,965
0x91d40e4818f4d4c57b4578d9eca6afc92ac8debe,1.0663226520017478e-16,4901
0x990636ecb3ff04d33d92e970d3d588bf5cd8d086,1.0377853670502402e-16,4888
0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43,9.083990227678463e-17,720
0x9008d19f58aabd9ed0d60971565aa8510560ab41,8.033781667038712e-17,4869
0x1f2f10d1c40777ae1da742455c65828ff36df387,7.452981388726999e-17,4893
0x0bb7a4fdea32910038dec59c20ccae3a6e66b09f,7.3628055607169e-17,4817
0x437f64649600e302f4335be1130f665394015437,6.720745542051132e-17,4895
0x420cafe478ebb83542a70089e5a65da67cc829ac,6.586048637820302e-17,4068
0x4bab2cb2ed6ee2d564ba5398cab4161d95e58f1b,6.57074253239019e-17,1652
0xb685760ebd368a891f27ae547391f4e2a289895b,6.469016161093049e-17,4844
0x5bdffbae4058cb7415b7b421802b1501d260f7ef,6.356129858857715e-17,308
