address,hub_score,rank_auth
0x301d9bc22d66f7bc49329a9d9eb16d3ecc4a12b4,1.0000000000000386,6060
0x21a31ee1afc51d94c2efccaa2092ad1028285549,4.5198924317649585e-15,2080
0x700e0841ce0892969d2f9cf523c6298b3ef056a6,2.3287069549985056e-15,12946
0x28c6c06298d514db089934071355e5743bf21d60,2.255601214434967e-15,12947
0xefef30bd1cca520619306c95091ab18473febc5c,1.4608117959320575e-15,12942
0xdfd5293d8e347dfe59e90efd55b2956a1343963d,1.152408026912333e-15,1768
0x700eafc70e47793b7941742caabdee3bd10656a6,6.80622943577822e-16,678
0x019ce0bb10cbe9a67443883287f775492c3cbc5c,4.578113923178188e-16,48
0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43,3.6085065788942017e-16,2517
0x2ac51184e197248553827704f162234808664759,3.3313019748534584e-16,1424
0x5bdf85216ec1e38d6458c870992a69e38e03f7ef,3.2855371918014406e-16,1420
0xb685760ebd368a891f27ae547391f4e2a289895b,2.5469899065060653e-16,1777
0x35b7ef9f13017e7b4f28a277f5e67bec774bf7b1,2.1221830509938275e-16,1421
0x5e196d6069946ef6af2c48f1f9c8f62248d53902,2.1125345787939365e-16,1483
0x3d90f66b534dd8482b181e24655a9e8265316be9,1.994792711038433e-16,3754
0x1887fa9edadeab7562b01cc3f4fa246ace2c3cdd,1.918921683349217e-16,12450
0xfd301d36a3a2d7697247d3cb1d6f15fabf2fe531,1.872849558294913e-16,1406
0x5bdffbae4058cb7415b7b421802b1501d260f7ef,1.8141553421364744e-16,561
0x21a3245360527e8cbd8e96c5f0c3ad64f13b5549,1.7901560333219836e-16,254
0x5e1908e2a80e856bced23a269a75ec4b62b73902,1.6426148678696096e-16,575
