Janela,descricao,address,rank_hub,rank_auth,hub_score,auth_score,ratio_hub_auth,role
Baseline,Maduro-Hub,0xeae7380dd4cef6fbd1144f49e4d1e6964258a4f4,4501,2317,0.0,4.7e-05,0.0,Acumulador
Baseline,Maduro-Hub-2,0xfbd4cdb413e45a52e2c8312f670e9ce67e794c37,290,28,0.000125,0.001524,0.0821,Acumulador
Baseline,Khamenei-Antecipador,0xb334a61a6209f14b5fa5f1684a4ed7621f66e1ef,19,7253,0.003513,0.0,409543.1522,Distribuidor
Baseline,Khamenei-Hub,0xeb9ca8fdfac0652a97c0e1a48c1178d32d3a6b8f,4083,9592,0.0,0.0,4218786501149.1245,Distribuidor
Baseline,Khamenei-Hub-2,0x9b0c45d46d386cedd98873168c36efd0dcba8d46,7471,2553,0.0,3.7e-05,0.0,Acumulador
Maduro_1_Antes,Maduro-Hub,0xeae7380dd4cef6fbd1144f49e4d1e6964258a4f4,863,10021,0.0,-0.0,inf,Distribuidor
Maduro_1_Antes,Maduro-Sink,0xf977814e90da44bfa03b6295a0616a897441acec,4417,9199,-0.0,-0.0,inf,Distribuidor
Maduro_1_Antes,Maduro-Hub-2,0xfbd4cdb413e45a52e2c8312f670e9ce67e794c37,8848,1269,-0.0,0.0,-0.3857,Acumulador
Maduro_1_Antes,Khamenei-Antecipador,0xb334a61a6209f14b5fa5f1684a4ed7621f66e1ef,10026,2300,-0.0,0.0,-55.5286,Acumulador
Maduro_1_Antes,Khamenei-Hub,0xeb9ca8fdfac0652a97c0e1a48c1178d32d3a6b8f,9985,8880,-0.0,-0.0,inf,Distribuidor
Maduro_1_Antes,Khamenei-Hub-2,0x9b0c45d46d386cedd98873168c36efd0dcba8d46,8669,9856,-0.0,-0.0,inf,Distribuidor
Maduro_2_Choque,Maduro-Hub,0xeae7380dd4cef6fbd1144f49e4d1e6964258a4f4,176,1180,0.0,0.0,11.3747,Distribuidor
Maduro_2_Choque,Maduro-Hub-2,0xfbd4cdb413e45a52e2c8312f670e9ce67e794c37,65,791,0.0,0.0,7.4981,Distribuidor
Maduro_2_Choque,Khamenei-Antecipador,0xb334a61a6209f14b5fa5f1684a4ed7621f66e1ef,25,4786,0.0,-0.0,inf,Distribuidor
Maduro_2_Choque,Khamenei-Hub,0xeb9ca8fdfac0652a97c0e1a48c1178d32d3a6b8f,627,1235,0.0,0.0,5.5823,Distribuidor
Maduro_2_Choque,Khamenei-Hub-2,0x9b0c45d46d386cedd98873168c36efd0dcba8d46,1021,2201,0.0,0.0,11.7711,Distribuidor
Maduro_3_Depois,Maduro-Hub,0xeae7380dd4cef6fbd1144f49e4d1e6964258a4f4,12637,1771,-0.0,0.0,-12.4434,Acumulador
Maduro_3_Depois,Maduro-Sink,0xf977814e90da44bfa03b6295a0616a897441acec,4789,2480,0.0,0.0,0.0,Acumulador
Maduro_3_Depois,Maduro-Hub-2,0xfbd4cdb413e45a52e2c8312f670e9ce67e794c37,12067,1447,-0.0,0.0,-1.5932,Acumulador
Maduro_3_Depois,Khamenei-Antecipador,0xb334a61a6209f14b5fa5f1684a4ed7621f66e1ef,22,12908,0.0,-0.0,inf,Distribuidor
Maduro_3_Depois,Khamenei-Hub,0xeb9ca8fdfac0652a97c0e1a48c1178d32d3a6b8f,12552,2560,-0.0,0.0,-29.6268,Acumulador
Maduro_3_Depois,Khamenei-Hub-2,0x9b0c45d46d386cedd98873168c36efd0dcba8d46,1796,1766,0.0,0.0,0.385,Acumulador
Khamenei_1_Antes,Maduro-Hub,0xeae7380dd4cef6fbd1144f49e4d1e6964258a4f4,2729,11970,0.000117,-0.0,inf,Distribuidor
Khamenei_1_Antes,Maduro-Hub-2,0xfbd4cdb413e45a52e2c8312f670e9ce67e794c37,8609,450,0.0,0.0,0.0013,Acumulador
Khamenei_1_Antes,Khamenei-Antecipador,0xb334a61a6209f14b5fa5f1684a4ed7621f66e1ef,13897,13906,-0.0,-0.0,inf,Distribuidor
Khamenei_1_Antes,Khamenei-Hub,0xeb9ca8fdfac0652a97c0e1a48c1178d32d3a6b8f,8852,1482,0.0,0.0,0.0026,Acumulador
Khamenei_1_Antes,Khamenei-Hub-2,0x9b0c45d46d386cedd98873168c36efd0dcba8d46,9268,13716,0.0,-0.0,inf,Distribuidor
Khamenei_2_Choque,Maduro-Hub,0xeae7380dd4cef6fbd1144f49e4d1e6964258a4f4,2148,846,-0.0,1.5e-05,-0.0,Acumulador
Khamenei_2_Choque,Maduro-Hub-2,0xfbd4cdb413e45a52e2c8312f670e9ce67e794c37,75,45,0.000633,0.003594,0.176,Acumulador
Khamenei_2_Choque,Khamenei-Antecipador,0xb334a61a6209f14b5fa5f1684a4ed7621f66e1ef,4,1976,0.033165,-0.0,inf,Distribuidor
Khamenei_2_Choque,Khamenei-Hub,0xeb9ca8fdfac0652a97c0e1a48c1178d32d3a6b8f,650,2180,0.0,-0.0,inf,Distribuidor
Khamenei_2_Choque,Khamenei-Hub-2,0x9b0c45d46d386cedd98873168c36efd0dcba8d46,2007,366,-0.0,0.000333,-0.0,Acumulador
Khamenei_3_Depois,Maduro-Hub,0xeae7380dd4cef6fbd1144f49e4d1e6964258a4f4,1082,523,0.0,0.000579,0.0,Acumulador
Khamenei_3_Depois,Maduro-Hub-2,0xfbd4cdb413e45a52e2c8312f670e9ce67e794c37,148,9,0.000419,0.004128,0.1015,Acumulador
Khamenei_3_Depois,Khamenei-Antecipador,0xb334a61a6209f14b5fa5f1684a4ed7621f66e1ef,12,2581,0.010041,0.0,8.400458278773227e+16,Distribuidor
Khamenei_3_Depois,Khamenei-Hub,0xeb9ca8fdfac0652a97c0e1a48c1178d32d3a6b8f,1526,2519,0.0,0.0,0.0,Acumulador
Khamenei_3_Depois,Khamenei-Hub-2,0x9b0c45d46d386cedd98873168c36efd0dcba8d46,988,570,0.0,0.000249,0.0001,Acumulador
