Grafo,descricao,address,rank_hub,rank_auth,hub_score,auth_score,role
Baseline,Maduro-Hub,0xeae7380dd4cef6fbd1144f49e4d1e6964258a4f4,4524,2317,0.0,4.73e-05,Auth
Baseline,Maduro-Hub-2,0xfbd4cdb413e45a52e2c8312f670e9ce67e794c37,290,28,0.0001251,0.0015242,Auth
Baseline,Khamenei-Antecipador,0xb334a61a6209f14b5fa5f1684a4ed7621f66e1ef,19,7253,0.0035125,0.0,Hub
Baseline,Khamenei-Hub,0xeb9ca8fdfac0652a97c0e1a48c1178d32d3a6b8f,3973,9467,0.0,0.0,Hub
Baseline,Khamenei-Hub-2,0x9b0c45d46d386cedd98873168c36efd0dcba8d46,7134,2553,0.0,3.72e-05,Auth
Maduro,Maduro-Hub,0xeae7380dd4cef6fbd1144f49e4d1e6964258a4f4,469,22082,0.0,-0.0,Hub
Maduro,Maduro-Sink,0xf977814e90da44bfa03b6295a0616a897441acec,11265,4410,-0.0,0.0,Auth
Maduro,Maduro-Hub-2,0xfbd4cdb413e45a52e2c8312f670e9ce67e794c37,2191,2599,0.0,0.0,Hub
Maduro,Khamenei-Antecipador,0xb334a61a6209f14b5fa5f1684a4ed7621f66e1ef,16,2611,0.0,0.0,Hub
Maduro,Khamenei-Hub,0xeb9ca8fdfac0652a97c0e1a48c1178d32d3a6b8f,4526,6608,0.0,0.0,Hub
Maduro,Khamenei-Hub-2,0x9b0c45d46d386cedd98873168c36efd0dcba8d46,6349,5072,0.0,0.0,Auth
Khamenei,Maduro-Hub,0xeae7380dd4cef6fbd1144f49e4d1e6964258a4f4,8444,18424,0.0001149,-0.0,Hub
Khamenei,Maduro-Hub-2,0xfbd4cdb413e45a52e2c8312f670e9ce67e794c37,18214,18195,-0.0,-0.0,Hub
Khamenei,Khamenei-Antecipador,0xb334a61a6209f14b5fa5f1684a4ed7621f66e1ef,18456,18169,-0.0,-0.0,Hub
Khamenei,Khamenei-Hub,0xeb9ca8fdfac0652a97c0e1a48c1178d32d3a6b8f,17701,14518,-0.0,-0.0,Hub
Khamenei,Khamenei-Hub-2,0x9b0c45d46d386cedd98873168c36efd0dcba8d46,16597,17420,-0.0,-0.0,Hub
